id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
2244,05:10:47 03-06-2015,05:27:42 03-06-2015,Right Breast,,,,16,Breast Milk,,
2243,01:50:03 03-06-2015,02:00:28 03-06-2015,Left Breast,,,,10,Breast Milk,,
2242,20:35:54 03-05-2015,20:41:38 03-05-2015,Right Breast,,,,5,Breast Milk,,
2241,19:23:02 03-05-2015,19:35:10 03-05-2015,Right Breast,,,,12,Breast Milk,,
2240,18:51:22 03-05-2015,19:15:24 03-05-2015,Left Breast,,,,24,Breast Milk,,
2239,17:40:05 03-05-2015,17:58:18 03-05-2015,Right Breast,,,,18,Breast Milk,,
2238,16:55:27 03-05-2015,16:56:07 03-05-2015,Left Breast,,,,0,Breast Milk,,
2237,16:51:32 03-05-2015,16:53:54 03-05-2015,Right Breast,,,,2,Breast Milk,,
2236,14:10:32 03-05-2015,14:16:55 03-05-2015,Left Breast,,,,6,Breast Milk,,
2235,13:58:55 03-05-2015,14:08:12 03-05-2015,Right Breast,,,,9,Breast Milk,,
2234,11:02:50 03-05-2015,11:11:26 03-05-2015,Left Breast,,,,8,Breast Milk,,
2233,08:02:40 03-05-2015,08:11:05 03-05-2015,Right Breast,,,,8,Breast Milk,,
2232,06:50:20 03-05-2015,06:54:26 03-05-2015,Left Breast,,,,4,Breast Milk,,
2231,05:54:54 03-05-2015,05:59:18 03-05-2015,Right Breast,,,,4,Breast Milk,,
2230,19:19:55 03-04-2015,19:26:47 03-04-2015,Right Breast,,,,6,Breast Milk,,
2229,17:53:56 03-04-2015,18:13:30 03-04-2015,Left Breast,,,,19,Breast Milk,,
2228,17:24:26 03-04-2015,17:40:55 03-04-2015,Right Breast,,,,16,Breast Milk,,
2227,16:29:21 03-04-2015,16:34:56 03-04-2015,Left Breast,,,,5,Breast Milk,,
2226,14:30:51 03-04-2015,14:55:42 03-04-2015,Right Breast,,,,24,Breast Milk,,
2225,13:55:47 03-04-2015,13:59:03 03-04-2015,Right Breast,,,,3,Breast Milk,,
2224,11:51:00 03-04-2015,12:22:09 03-04-2015,Left Breast,,,,31,Breast Milk,,
2223,11:10:45 03-04-2015,11:19:22 03-04-2015,Right Breast,,,,8,Breast Milk,,
2222,10:56:22 03-04-2015,11:02:39 03-04-2015,Right Breast,,,,6,Breast Milk,,
2221,08:26:57 03-04-2015,08:43:28 03-04-2015,Left Breast,,,,16,Breast Milk,,
2220,08:11:21 03-04-2015,08:20:08 03-04-2015,Right Breast,,,,8,Breast Milk,,
2219,07:36:43 03-04-2015,07:42:24 03-04-2015,Left Breast,,,,5,Breast Milk,,
2218,06:53:02 03-04-2015,06:59:37 03-04-2015,Left Breast,,,,6,Breast Milk,,
2217,02:04:27 03-04-2015,02:26:38 03-04-2015,Right Breast,,,,22,Breast Milk,,
2216,18:49:07 03-03-2015,19:17:13 03-03-2015,Left Breast,,,,28,Breast Milk,,
2215,18:35:22 03-03-2015,18:39:53 03-03-2015,Right Breast,,,,4,Breast Milk,,
2214,17:10:59 03-03-2015,17:14:36 03-03-2015,Right Breast,,,,3,Breast Milk,,
2213,17:02:21 03-03-2015,17:10:29 03-03-2015,Left Breast,,,,8,Breast Milk,,
2212,14:06:21 03-03-2015,14:30:33 03-03-2015,Right Breast,,,,24,Breast Milk,,
2211,11:18:55 03-03-2015,11:23:29 03-03-2015,Right Breast,,,,4,Breast Milk,,
2210,11:07:30 03-03-2015,11:16:39 03-03-2015,Left Breast,,,,9,Breast Milk,,
2209,08:14:34 03-03-2015,08:20:07 03-03-2015,Left Breast,,,,5,Breast Milk,,
2208,08:07:42 03-03-2015,08:14:37 03-03-2015,Right Breast,,,,6,Breast Milk,,
2207,07:02:01 03-03-2015,07:04:09 03-03-2015,Right Breast,,,,2,Breast Milk,,
2206,05:54:00 03-03-2015,05:59:20 03-03-2015,Right Breast,,,,5,Breast Milk,,
2205,23:01:16 03-02-2015,23:16:46 03-02-2015,Left Breast,,,,15,Breast Milk,,
2204,18:34:29 03-02-2015,18:52:30 03-02-2015,Right Breast,,,,18,Breast Milk,,
2202,18:14:22 03-02-2015,18:18:49 03-02-2015,Left Breast,,,,4,Breast Milk,,
2201,17:16:08 03-02-2015,17:17:02 03-02-2015,Left Breast,,,,0,Breast Milk,,
2200,17:05:36 03-02-2015,17:14:58 03-02-2015,Right Breast,,,,9,Breast Milk,,
2199,14:06:23 03-02-2015,14:09:25 03-02-2015,Right Breast,,,,3,Breast Milk,,
2198,13:59:57 03-02-2015,14:05:52 03-02-2015,Left Breast,,,,5,Breast Milk,,
2197,11:06:52 03-02-2015,11:24:11 03-02-2015,Right Breast,,,,17,Breast Milk,,
2196,08:17:39 03-02-2015,08:18:36 03-02-2015,Right Breast,,,,0,Breast Milk,,
2195,08:08:20 03-02-2015,08:14:32 03-02-2015,Left Breast,,,,6,Breast Milk,,
2194,07:03:22 03-02-2015,07:11:01 03-02-2015,Left Breast,,,,7,Breast Milk,,
2193,03:27:32 03-02-2015,03:56:21 03-02-2015,Right Breast,,,,28,Breast Milk,,
2192,17:31:41 03-01-2015,18:04:48 03-01-2015,Left Breast,,,,33,Breast Milk,,
2191,16:41:53 03-01-2015,16:48:01 03-01-2015,Right Breast,,,,6,Breast Milk,,
2190,16:07:49 03-01-2015,16:14:17 03-01-2015,Right Breast,,,,6,Breast Milk,,
2189,13:32:58 03-01-2015,13:57:22 03-01-2015,Left Breast,,,,24,Breast Milk,,
2188,12:54:32 03-01-2015,13:13:18 03-01-2015,Right Breast,,,,18,Breast Milk,,
2187,12:21:40 03-01-2015,12:22:54 03-01-2015,Right Breast,,,,1,Breast Milk,,
2186,09:05:48 03-01-2015,09:10:18 03-01-2015,Left Breast,,,,4,Breast Milk,,
2185,08:32:41 03-01-2015,08:40:42 03-01-2015,Right Breast,,,,8,Breast Milk,,
2184,06:46:59 03-01-2015,06:53:18 03-01-2015,Right Breast,,,,6,Breast Milk,,
2183,04:06:18 03-01-2015,04:23:00 03-01-2015,Left Breast,,,,16,Breast Milk,,
2182,18:08:14 02-28-2015,18:17:19 02-28-2015,Right Breast,,,,9,Breast Milk,,
2181,17:22:10 02-28-2015,17:25:26 02-28-2015,Right Breast,,,,3,Breast Milk,,
2180,16:14:26 02-28-2015,16:30:48 02-28-2015,Left Breast,,,,16,Breast Milk,,
2179,12:42:30 02-28-2015,13:14:46 02-28-2015,Right Breast,,,,32,Breast Milk,,
2178,12:07:51 02-28-2015,12:11:34 02-28-2015,Right Breast,,,,3,Breast Milk,,
2177,11:44:12 02-28-2015,12:03:26 02-28-2015,Solids,0.71,20,fed Cereal,19,Cereal,METRIC,
2176,07:44:14 02-28-2015,07:54:26 02-28-2015,Left Breast,,,,10,Breast Milk,,
2175,06:14:53 02-28-2015,06:19:25 02-28-2015,Left Breast,,,,4,Breast Milk,,
2174,05:19:07 02-28-2015,05:35:17 02-28-2015,Right Breast,,,,16,Breast Milk,,
2173,00:35:57 02-28-2015,00:58:32 02-28-2015,Left Breast,,,,22,Breast Milk,,
2172,19:25:40 02-27-2015,19:40:44 02-27-2015,Right Breast,,,,15,Breast Milk,,
2171,17:04:50 02-27-2015,17:11:09 02-27-2015,Left Breast,,,,6,Breast Milk,,
2170,16:57:33 02-27-2015,17:04:35 02-27-2015,Right Breast,,,,7,Breast Milk,,
2169,14:06:44 02-27-2015,14:15:22 02-27-2015,Left Breast,,,,8,Breast Milk,,
2168,13:57:50 02-27-2015,14:05:36 02-27-2015,Right Breast,,,,7,Breast Milk,,
2167,11:12:16 02-27-2015,11:15:06 02-27-2015,Right Breast,,,,2,Breast Milk,,
2166,11:03:52 02-27-2015,11:09:31 02-27-2015,Left Breast,,,,5,Breast Milk,,
2165,08:09:35 02-27-2015,08:26:49 02-27-2015,Right Breast,,,,17,Breast Milk,,
2164,06:25:43 02-27-2015,06:30:50 02-27-2015,Left Breast,,,,5,Breast Milk,,
2163,03:06:56 02-27-2015,03:32:05 02-27-2015,Right Breast,,,,25,Breast Milk,,
2162,22:30:55 02-26-2015,22:50:44 02-26-2015,Left Breast,,,,19,Breast Milk,,
2161,22:24:07 02-26-2015,22:30:23 02-26-2015,Right Breast,,,,6,Breast Milk,,
2160,18:43:23 02-26-2015,19:15:11 02-26-2015,Left Breast,,,,31,Breast Milk,,
2159,15:38:35 02-26-2015,15:44:35 02-26-2015,Left Breast,,,,5,Breast Milk,,
2158,15:32:20 02-26-2015,15:37:43 02-26-2015,Right Breast,,,,5,Breast Milk,,
2157,12:05:05 02-26-2015,12:09:44 02-26-2015,Left Breast,,,,4,Breast Milk,,
2156,11:56:39 02-26-2015,12:00:35 02-26-2015,Right Breast,,,,3,Breast Milk,,
2155,08:00:28 02-26-2015,08:05:00 02-26-2015,Left Breast,,,,4,Breast Milk,,
2154,07:04:57 02-26-2015,07:06:03 02-26-2015,Left Breast,,,,1,Breast Milk,,
2153,04:52:13 02-26-2015,05:03:51 02-26-2015,Right Breast,,,,11,Breast Milk,,
2152,19:20:54 02-25-2015,19:37:34 02-25-2015,Left Breast,,,,16,Breast Milk,,
2151,17:43:53 02-25-2015,18:21:42 02-25-2015,Right Breast,,,,37,Breast Milk,,
2150,17:07:24 02-25-2015,17:10:47 02-25-2015,Right Breast,,,,3,Breast Milk,,
2149,14:31:30 02-25-2015,15:00:16 02-25-2015,Left Breast,,,,28,Breast Milk,,
2148,12:18:18 02-25-2015,12:35:47 02-25-2015,Right Breast,,,,17,Breast Milk,,
2147,11:28:51 02-25-2015,11:38:39 02-25-2015,Solids,0.71,20,fed Cereal,9,Cereal,METRIC,
2146,10:38:41 02-25-2015,10:44:19 02-25-2015,Left Breast,,,,5,Breast Milk,,
2145,08:14:44 02-25-2015,08:26:46 02-25-2015,Right Breast,,,,12,Breast Milk,,
2144,07:20:13 02-25-2015,07:24:33 02-25-2015,Right Breast,,,,4,Breast Milk,,
2143,05:46:28 02-25-2015,05:58:50 02-25-2015,Left Breast,,,,12,Breast Milk,,
2142,18:51:18 02-24-2015,19:10:43 02-24-2015,Right Breast,,,,19,Breast Milk,,
2141,17:03:27 02-24-2015,17:06:45 02-24-2015,Left Breast,,,,3,Breast Milk,,
2140,16:56:10 02-24-2015,17:01:12 02-24-2015,Right Breast,,,,5,Breast Milk,,
2139,13:54:31 02-24-2015,14:03:41 02-24-2015,Left Breast,,,,9,Breast Milk,,
2138,10:58:59 02-24-2015,11:03:49 02-24-2015,Left Breast,,,,4,Breast Milk,,
2137,10:51:12 02-24-2015,10:57:17 02-24-2015,Right Breast,,,,6,Breast Milk,,
2136,08:05:37 02-24-2015,08:07:01 02-24-2015,Right Breast,,,,1,Breast Milk,,
2135,07:55:33 02-24-2015,08:04:29 02-24-2015,Left Breast,,,,8,Breast Milk,,
2134,06:39:14 02-24-2015,06:42:05 02-24-2015,Right Breast,,,,2,Breast Milk,,
2133,02:18:13 02-24-2015,02:29:26 02-24-2015,Left Breast,,,,11,Breast Milk,,
2132,23:11:36 02-23-2015,23:31:18 02-23-2015,Right Breast,,,,19,Breast Milk,,
2131,18:57:21 02-23-2015,19:02:37 02-23-2015,Left Breast,,,,5,Breast Milk,,
2130,14:01:43 02-23-2015,14:20:07 02-23-2015,Left Breast,,,,18,Breast Milk,,
2129,13:43:53 02-23-2015,13:48:33 02-23-2015,Right Breast,,,,4,Breast Milk,,
2128,12:48:41 02-23-2015,12:53:08 02-23-2015,Left Breast,,,,4,Breast Milk,,
2127,09:21:32 02-23-2015,09:37:23 02-23-2015,Right Breast,,,,15,Breast Milk,,
2126,09:09:38 02-23-2015,09:12:31 02-23-2015,Right Breast,,,,2,Breast Milk,,
2125,07:32:24 02-23-2015,07:37:24 02-23-2015,Left Breast,,,,5,Breast Milk,,
2124,03:44:30 02-23-2015,03:58:33 02-23-2015,Bottle,1.01,30,Vomited everything 10 min after,14,Liquid,METRIC,Pump
2123,21:20:01 02-22-2015,21:42:07 02-22-2015,Left Breast,,,,22,Breast Milk,,
2122,20:20:16 02-22-2015,20:30:18 02-22-2015,Solids,0.71,20,fed Fruit,10,Fruit,METRIC,
2121,20:01:07 02-22-2015,20:20:09 02-22-2015,Bottle,2.54,75,,19,Liquid,METRIC,Pump
2120,18:43:57 02-22-2015,18:44:34 02-22-2015,Right Breast,,,,0,Breast Milk,,
2119,16:40:06 02-22-2015,16:46:32 02-22-2015,Left Breast,,,,6,Breast Milk,,
2118,14:51:31 02-22-2015,15:02:30 02-22-2015,Right Breast,,,,10,Breast Milk,,
2117,13:57:06 02-22-2015,13:57:56 02-22-2015,Left Breast,,,,0,Breast Milk,,
2116,13:18:43 02-22-2015,13:22:50 02-22-2015,Left Breast,,,,4,Breast Milk,,
2115,12:10:16 02-22-2015,12:14:37 02-22-2015,Right Breast,,,,4,Breast Milk,,
2114,10:17:18 02-22-2015,10:18:26 02-22-2015,Right Breast,,,,1,Breast Milk,,
2113,09:33:28 02-22-2015,09:38:17 02-22-2015,Left Breast,,,,4,Breast Milk,,
2112,08:16:26 02-22-2015,08:22:22 02-22-2015,Right Breast,,,,5,Breast Milk,,
2111,03:46:31 02-22-2015,03:55:37 02-22-2015,Left Breast,,,,9,Breast Milk,,
2110,20:09:03 02-21-2015,20:16:01 02-21-2015,Right Breast,,,,6,Breast Milk,,
2109,19:02:55 02-21-2015,19:14:36 02-21-2015,Left Breast,,,,11,Breast Milk,,
2108,17:02:27 02-21-2015,17:07:36 02-21-2015,Right Breast,,,,5,Breast Milk,,
2107,15:05:39 02-21-2015,15:09:31 02-21-2015,Right Breast,,,,3,Breast Milk,,
2106,13:06:57 02-21-2015,13:15:50 02-21-2015,Left Breast,,,,8,Breast Milk,,
2105,10:13:37 02-21-2015,10:26:06 02-21-2015,Right Breast,,,,12,Breast Milk,,
2104,08:20:42 02-21-2015,08:27:56 02-21-2015,Left Breast,,,,7,Breast Milk,,
2103,04:37:27 02-21-2015,04:40:21 02-21-2015,Right Breast,,,,2,Breast Milk,,
2102,04:10:33 02-21-2015,04:16:48 02-21-2015,Right Breast,,,,6,Breast Milk,,
2101,19:17:53 02-20-2015,19:33:49 02-20-2015,Left Breast,,,,15,Breast Milk,,
2100,18:02:42 02-20-2015,18:08:31 02-20-2015,Left Breast,,,,5,Breast Milk,,
2099,17:02:39 02-20-2015,17:19:03 02-20-2015,Right Breast,,,,16,Breast Milk,,
2098,14:26:06 02-20-2015,14:26:49 02-20-2015,Right Breast,,,,0,Breast Milk,,
2097,13:53:47 02-20-2015,13:57:30 02-20-2015,Right Breast,,,,3,Breast Milk,,
2096,12:40:02 02-20-2015,13:00:06 02-20-2015,Left Breast,,,,20,Breast Milk,,
2095,12:00:56 02-20-2015,12:05:18 02-20-2015,Left Breast,,,,4,Breast Milk,,
2094,09:28:41 02-20-2015,09:54:34 02-20-2015,Right Breast,,,,25,Breast Milk,,
2093,07:47:08 02-20-2015,07:53:29 02-20-2015,Left Breast,,,,6,Breast Milk,,
2092,04:32:51 02-20-2015,04:41:37 02-20-2015,Right Breast,,,,8,Breast Milk,,
2091,23:57:10 02-19-2015,00:10:33 02-20-2015,Left Breast,,,,13,Breast Milk,,
2090,17:32:54 02-19-2015,17:52:43 02-19-2015,Right Breast,,,,19,Breast Milk,,
2089,17:01:43 02-19-2015,17:04:25 02-19-2015,Right Breast,,,,2,Breast Milk,,
2088,16:56:04 02-19-2015,17:01:41 02-19-2015,Left Breast,,,,5,Breast Milk,,
2087,16:27:31 02-19-2015,16:31:07 02-19-2015,Left Breast,,,,3,Breast Milk,,
2086,15:44:46 02-19-2015,15:50:21 02-19-2015,Right Breast,,,,5,Breast Milk,,
2085,11:22:49 02-19-2015,11:27:27 02-19-2015,Left Breast,,,,4,Breast Milk,,
2084,10:43:28 02-19-2015,10:53:30 02-19-2015,Right Breast,,,,10,Breast Milk,,
2083,08:09:17 02-19-2015,08:16:03 02-19-2015,Left Breast,,,,6,Breast Milk,,
2082,07:05:22 02-19-2015,07:08:18 02-19-2015,Left Breast,,,,2,Breast Milk,,
2081,04:36:25 02-19-2015,04:46:41 02-19-2015,Right Breast,,,,10,Breast Milk,,
2080,19:16:56 02-18-2015,19:38:41 02-18-2015,Left Breast,,,,21,Breast Milk,,
2079,17:59:19 02-18-2015,18:03:36 02-18-2015,Right Breast,,,,4,Breast Milk,,
2078,16:37:48 02-18-2015,16:47:02 02-18-2015,Left Breast,,,,9,Breast Milk,,
2077,15:26:21 02-18-2015,15:41:42 02-18-2015,Right Breast,,,,15,Breast Milk,,
2076,14:17:28 02-18-2015,14:24:00 02-18-2015,Right Breast,,,,6,Breast Milk,,
2075,12:03:10 02-18-2015,12:50:07 02-18-2015,Left Breast,,,,46,Breast Milk,,
2074,10:44:03 02-18-2015,10:56:37 02-18-2015,Right Breast,,,,12,Breast Milk,,
2073,07:57:57 02-18-2015,08:14:58 02-18-2015,Left Breast,,,,17,Breast Milk,,
2072,07:14:12 02-18-2015,07:17:32 02-18-2015,Left Breast,,,,3,Breast Milk,,
2071,05:53:35 02-18-2015,06:06:19 02-18-2015,Right Breast,,,,12,Breast Milk,,
2070,01:16:44 02-18-2015,01:39:44 02-18-2015,Left Breast,,,,23,Breast Milk,,
2069,18:23:07 02-17-2015,18:52:30 02-17-2015,Right Breast,,,,29,Breast Milk,,
2068,16:51:01 02-17-2015,17:04:53 02-17-2015,Left Breast,,,,13,Breast Milk,,
2067,14:01:08 02-17-2015,14:06:13 02-17-2015,Left Breast,,,,5,Breast Milk,,
2066,13:53:45 02-17-2015,13:59:07 02-17-2015,Right Breast,,,,5,Breast Milk,,
2065,11:06:59 02-17-2015,11:13:06 02-17-2015,Left Breast,,,,6,Breast Milk,,
2064,10:58:46 02-17-2015,11:03:58 02-17-2015,Right Breast,,,,5,Breast Milk,,
2063,08:17:24 02-17-2015,08:20:30 02-17-2015,Left Breast,,,,3,Breast Milk,,
2062,08:09:20 02-17-2015,08:13:15 02-17-2015,Right Breast,,,,3,Breast Milk,,
2061,07:06:29 02-17-2015,07:07:41 02-17-2015,Right Breast,,,,1,Breast Milk,,
2060,04:10:59 02-17-2015,04:18:27 02-17-2015,Left Breast,,,,7,Breast Milk,,
2059,18:37:44 02-16-2015,18:47:07 02-16-2015,Right Breast,,,,9,Breast Milk,,
2058,17:44:08 02-16-2015,18:04:44 02-16-2015,Left Breast,,,,20,Breast Milk,,
2057,16:50:19 02-16-2015,16:53:58 02-16-2015,Right Breast,,,,3,Breast Milk,,
2056,14:29:24 02-16-2015,14:39:08 02-16-2015,Left Breast,,,,9,Breast Milk,,
2055,14:22:00 02-16-2015,14:27:03 02-16-2015,Right Breast,,,,5,Breast Milk,,
2054,10:59:16 02-16-2015,11:03:50 02-16-2015,Left Breast,,,,4,Breast Milk,,
2053,10:50:59 02-16-2015,10:56:06 02-16-2015,Right Breast,,,,5,Breast Milk,,
2052,08:14:44 02-16-2015,08:18:27 02-16-2015,Left Breast,,,,3,Breast Milk,,
2051,07:32:49 02-16-2015,07:37:10 02-16-2015,Right Breast,,,,4,Breast Milk,,
2050,04:58:00 02-16-2015,05:03:35 02-16-2015,Left Breast,,,,5,Breast Milk,,
2049,17:40:38 02-15-2015,17:56:39 02-15-2015,Right Breast,,,,16,Breast Milk,,
2048,16:18:00 02-15-2015,16:19:01 02-15-2015,Left Breast,,,,1,Breast Milk,,
2047,16:13:57 02-15-2015,16:17:10 02-15-2015,Right Breast,,,,3,Breast Milk,,
2046,16:09:49 02-15-2015,16:13:21 02-15-2015,Left Breast,,,,3,Breast Milk,,
2045,15:30:13 02-15-2015,15:36:22 02-15-2015,Left Breast,,,,6,Breast Milk,,
2044,13:32:17 02-15-2015,13:55:50 02-15-2015,Right Breast,,,,23,Breast Milk,,
2043,10:40:38 02-15-2015,11:06:27 02-15-2015,Left Breast,,,,25,Breast Milk,,
2042,09:33:41 02-15-2015,09:39:05 02-15-2015,Left Breast,,,,5,Breast Milk,,
2041,07:52:05 02-15-2015,08:13:30 02-15-2015,Right Breast,,,,21,Breast Milk,,
2040,06:22:33 02-15-2015,06:27:34 02-15-2015,Right Breast,,,,5,Breast Milk,,
2039,02:31:38 02-15-2015,02:40:34 02-15-2015,Left Breast,,,,8,Breast Milk,,
2038,18:26:01 02-14-2015,18:31:10 02-14-2015,Right Breast,,,,5,Breast Milk,,
2037,17:09:20 02-14-2015,17:16:19 02-14-2015,Left Breast,,,,6,Breast Milk,,
2036,14:53:45 02-14-2015,14:59:00 02-14-2015,Right Breast,,,,5,Breast Milk,,
2035,11:46:16 02-14-2015,12:06:09 02-14-2015,Left Breast,,,,19,Breast Milk,,
2034,10:35:13 02-14-2015,10:42:38 02-14-2015,Right Breast,,,,7,Breast Milk,,
2033,07:45:51 02-14-2015,07:50:45 02-14-2015,Left Breast,,,,4,Breast Milk,,
2032,06:05:24 02-14-2015,06:11:26 02-14-2015,Right Breast,,,,6,Breast Milk,,
2031,00:12:24 02-14-2015,00:21:17 02-14-2015,Left Breast,,,,8,Breast Milk,,
2030,00:01:43 02-14-2015,00:10:28 02-14-2015,Right Breast,,,,8,Breast Milk,,
2029,19:09:56 02-13-2015,19:22:31 02-13-2015,Left Breast,,,,12,Breast Milk,,
2028,18:01:42 02-13-2015,18:20:39 02-13-2015,Right Breast,,,,18,Breast Milk,,
2027,16:43:54 02-13-2015,16:47:28 02-13-2015,Left Breast,,,,3,Breast Milk,,
2026,14:29:22 02-13-2015,14:43:40 02-13-2015,Right Breast,,,,14,Breast Milk,,
2025,12:34:04 02-13-2015,12:49:40 02-13-2015,Left Breast,,,,15,Breast Milk,,
2024,10:28:35 02-13-2015,10:32:38 02-13-2015,Left Breast,,,,4,Breast Milk,,
2023,10:21:10 02-13-2015,10:26:06 02-13-2015,Right Breast,,,,4,Breast Milk,,
2022,07:15:22 02-13-2015,07:23:33 02-13-2015,Left Breast,,,,8,Breast Milk,,
2021,04:26:09 02-13-2015,04:48:39 02-13-2015,Right Breast,,,,22,Breast Milk,,
